Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Bird1,24,6,150,81,8,8
Bird1,24,7,150,81,13,13
Bird1,24,8,150,81,18,18
Bird1,24,9,150,81,23,23
Bird1,24,10,150,81,26,26
Bird1,24,11,150,81,29,29
Bird1,24,12,150,81,34,34
Bird1,24,13,150,81,37,37
Bird1,24,14,150,81,42,42
Bird1,24,15,150,81,47,47
Bird1,24,16,150,81,52,52
Bird1,24,17,150,81,57,57
Bird1,24,18,150,81,62,62
Bird1,24,19,150,81,65,65
Bird1,24,20,150,81,68,68
Bird1,24,21,150,81,75,75
Bird1,24,22,150,81,80,80
Bird1,24,23,150,81,85,85
Bird1,25,1,150,81,0,0
Bird1,25,2,150,81,0,0
Bird1,25,3,150,81,0,0
Bird1,25,4,150,81,0,0
Bird1,25,5,150,81,5,5
Bird1,25,6,150,81,8,8
Bird1,25,7,150,81,13,13
Bird1,25,8,150,81,18,18
Bird1,25,9,150,81,23,23
Bird1,25,10,150,81,26,26
Bird1,25,11,150,81,29,29
Bird1,25,12,150,81,34,34
Bird1,25,13,150,81,37,37
Bird1,25,14,150,81,42,42
Bird1,25,15,150,81,47,47
Bird1,25,16,150,81,52,52
Bird1,25,17,150,81,57,57
Bird1,25,18,150,81,62,62
Bird1,25,19,150,81,65,65
Bird1,25,20,150,81,68,68
Bird1,25,21,150,81,75,75
Bird1,25,22,150,81,80,80
Bird1,25,23,150,81,85,85
Bird1,25,24,150,81,90,90
Bird1,26,1,150,81,0,0
Bird1,26,2,150,81,0,0
Bird1,26,3,150,81,0,0
Bird1,26,4,150,81,0,0
Bird1,26,5,150,81,5,5
Bird1,26,6,150,81,8,8
Bird1,26,7,150,81,13,13
Bird1,26,8,150,81,18,18
Bird1,26,9,150,81,23,23
Bird1,26,10,150,81,26,26
Bird1,26,11,150,81,29,29
Bird1,26,12,150,81,34,34
Bird1,26,13,150,81,37,37
Bird1,26,14,150,81,42,42
Bird1,26,15,150,81,47,47
Bird1,26,16,150,81,52,52
Bird1,26,17,150,81,57,57
Bird1,26,18,150,81,62,62
Bird1,26,19,150,81,65,65
Bird1,26,20,150,81,68,68
Bird1,26,21,150,81,75,75
Bird1,26,22,150,81,80,80
Bird1,26,23,150,81,85,85
Bird1,26,24,150,81,90,90
Bird1,26,25,150,81,95,95
Bird1,27,1,150,81,0,0
Bird1,27,2,150,81,0,0
Bird1,27,3,150,81,0,0
Bird1,27,4,150,81,0,0
Bird1,27,5,150,81,5,5
Bird1,27,6,150,81,8,8
Bird1,27,7,150,81,13,13
Bird1,27,8,150,81,18,18
Bird1,27,9,150,81,23,23
Bird1,27,10,150,81,26,26
Bird1,27,11,150,81,29,29
Bird1,27,12,150,81,34,34
Bird1,27,13,150,81,37,37
Bird1,27,14,150,81,42,42
Bird1,27,15,150,81,47,47
Bird1,27,16,150,81,52,52
Bird1,27,17,150,81,57,57
Bird1,27,18,150,81,62,62
Bird1,27,19,150,81,65,65
Bird1,27,20,150,81,68,68
Bird1,27,21,150,81,75,75
Bird1,27,22,150,81,80,80
Bird1,27,23,150,81,85,85
Bird1,27,24,150,81,90,90
Bird1,27,25,150,81,95,95
Bird1,27,26,150,81,102,102
Bird1,28,1,150,81,0,0
Bird1,28,2,150,81,0,0
